"total.length","alar.extent","beak.length","humerus.length","sternum.length","status","age.class"
156,245,31.6,18.5,20.5,"surviving","young"
154,240,30.4,17.9,19.6,"surviving","old"
153,240,31,18.4,20.6,"surviving","young"
153,236,30.9,17.7,20.2,"surviving","old"
155,243,31.5,18.6,20.3,"surviving","young"
163,247,32,19,20.9,"surviving","old"
157,238,30.9,18.4,20.2,"surviving","young"
155,239,32.8,18.6,21.2,"surviving","old"
164,248,32.7,19.1,21.1,"surviving","young"
158,238,31,18.8,22,"surviving","old"
158,240,31.3,18.6,22,"surviving","young"
160,244,31.1,18.6,20.5,"surviving","old"
161,246,32.3,19.3,21.8,"surviving","young"
157,245,32,19.1,20,"surviving","old"
157,235,31.5,18.1,19.8,"surviving","young"
156,237,30.9,18,20.3,"surviving","old"
158,244,31.4,18.5,21.6,"surviving","young"
153,238,30.5,18.2,20.9,"surviving","old"
155,236,30.3,18.5,20.1,"surviving","young"
163,246,32.5,18.6,21.9,"surviving","old"
159,236,31.5,18,21.5,"surviving","young"
155,240,31.4,18,20.7,"dead","old"
156,240,31.5,18.2,20.6,"dead","young"
160,242,32.6,18.8,21.7,"dead","old"
152,232,30.3,17.2,19.8,"dead","young"
160,250,31.7,18.8,22.5,"dead","old"
155,237,31,18.5,20,"dead","young"
157,245,32.2,19.5,21.4,"dead","old"
165,245,33.1,19.8,22.7,"dead","young"
153,231,30.1,17.3,19.8,"dead","old"
162,239,30.3,18,23.1,"dead","young"
162,243,31.6,18.8,21.3,"dead","old"
159,245,31.8,18.5,21.7,"dead","young"
159,247,30.9,18.1,19,"dead","old"
155,243,30.9,18.5,21.3,"dead","young"
162,252,31.9,19.1,22.2,"dead","old"
152,230,30.4,17.3,18.6,"dead","young"
159,242,30.8,18.2,20.5,"dead","old"
155,238,31.2,17.9,19.3,"dead","young"
163,249,33.4,19.5,22.8,"dead","old"
163,242,31,18.1,20.7,"dead","young"
156,237,31.7,18.2,20.3,"dead","old"
159,238,31.5,18.4,20.3,"dead","young"
161,245,32.1,19.1,20.8,"dead","old"
155,235,30.7,17.7,19.6,"dead","young"
162,247,31.9,19.1,20.4,"dead","old"
153,237,30.6,18.6,20.4,"dead","young"
162,245,32.5,18.5,21.1,"dead","old"
164,248,32.3,18.8,20.9,"dead","young"
