"total.length","humerus.length","predict"
156,18.5,18.2721344880285
154,17.9,18.0728476821192
153,18.4,17.9732042791645
153,17.7,17.9732042791645
155,18.6,18.1724910850739
163,19,18.9696383087112
157,18.4,18.3717778909832
155,18.6,18.1724910850739
164,19.1,19.0692817116658
158,18.8,18.4714212939379
158,18.6,18.4714212939379
160,18.6,18.6707080998472
161,19.3,18.7703515028018
157,19.1,18.3717778909832
157,18.1,18.3717778909832
156,18,18.2721344880285
158,18.5,18.4714212939379
153,18.2,17.9732042791645
155,18.5,18.1724910850739
163,18.6,18.9696383087112
159,18,18.5710646968925
155,18,18.1724910850739
156,18.2,18.2721344880285
160,18.8,18.6707080998472
152,17.2,17.8735608762099
160,18.8,18.6707080998472
155,18.5,18.1724910850739
157,19.5,18.3717778909832
165,19.8,19.1689251146205
153,17.3,17.9732042791645
162,18,18.8699949057565
162,18.8,18.8699949057565
159,18.5,18.5710646968925
159,18.1,18.5710646968925
155,18.5,18.1724910850739
162,19.1,18.8699949057565
152,17.3,17.8735608762099
159,18.2,18.5710646968925
155,17.9,18.1724910850739
163,19.5,18.9696383087112
163,18.1,18.9696383087112
156,18.2,18.2721344880285
159,18.4,18.5710646968925
161,19.1,18.7703515028018
155,17.7,18.1724910850739
162,19.1,18.8699949057565
153,18.6,17.9732042791645
162,18.5,18.8699949057565
164,18.8,19.0692817116658
